timestamp,user_id,item_id,event_type,event_value,price,date_key,quantity,customer_id,created_date,updated_date,channel,payment,location,discount,is_deleted
1735064221,ca12702ddf55acaa9fb767e10faaa67a9b101e06be6ae203ef8801f4e3b25989,7115000000004,Purchase,1.0000,49000.0000,20241224,1,5254214,2024-12-24 18:17:01.027,2024-12-24 18:20:09.453,In-Store,VietQR,656,0.0000,False
1735068481,54314ce86269f4849f9a4c3fc85d94b9ba96cbcba64ce18124c135ff44aae96f,0029130000030,Purchase,1.0000,69000.0000,20241224,1,7573232,2024-12-24 19:28:01.870,2024-12-24 19:28:01.870,In-Store,Tiền mặt,143,0.0000,False
1735069843,4799de4022b58689b2b9fb37122479b1ef448d7b7901a991a3677425cd45b6d0,3496000000053,Purchase,2.0000,75000.0000,20241224,2,8187418,2024-12-24 19:50:43.760,2024-12-24 19:50:43.760,In-Store,MoMo,213,0.0000,False
1735069779,4799de4022b58689b2b9fb37122479b1ef448d7b7901a991a3677425cd45b6d0,2700000000002,Purchase,2.0000,58500.0000,20241224,2,8187418,2024-12-24 19:49:39.223,2024-12-24 19:49:39.223,In-Store,MoMo,213,13000.0000,False
1735379373,3b2423f730815273dfd6f6220b0c5c072d6aab08f9da9b794d8e82da6ee60cd6,0029110000036,Purchase,1.0000,89000.0000,20241228,1,6931560,2024-12-28 09:49:33.780,2024-12-28 10:28:49.413,Android,MoMo,590,10000.0000,False
1735494576,6c6ec93c2e06704f0daa5e21f074079f58814c785d7cd7185ceb272b7ebc7186,3953000000286,Purchase,1.0000,68436.6197,20241229,1,2262570,2024-12-29 17:49:36.363,2024-12-29 17:49:36.410,In-Store,Tiền mặt,854,60563.3803,False
1735068938,306b337585413ab4dee81084693787e764581d48cb6bd26445646077a4a67e49,2242000910001,Purchase,1.0000,295000.0000,20241224,1,3353278,2024-12-24 19:35:38.257,2024-12-24 19:35:38.257,In-Store,Tiền mặt,632,0.0000,False
1735030802,8e402e6abf3a2405aba3af59484e9b7532d272b7124612e9e55f15a3c633e5e5,0007180000027,Purchase,1.0000,220000.0000,20241224,1,6674236,2024-12-24 09:00:02.703,2024-12-24 09:00:07.750,In-Store,VietQR,500,0.0000,False
1735066314,e5664716c01dad22c1bc80d526296d099ebd73603bdd0973fa24f427553f6c3f,1512000000004,Purchase,1.0000,295000.0000,20241224,1,5938241,2024-12-24 18:51:54.740,2024-12-24 18:52:01.767,In-Store,VietQR,550,0.0000,False
1735140364,8a7c776b5548522705fe6d69f97e09babf21eec1111c6eb8a192eedefc54eb8e,4869000000004,Purchase,5.0000,15000.0000,20241225,5,3261175,2024-12-25 15:26:04.523,2024-12-25 15:26:04.523,In-Store,VNPay,664,0.0000,False
1735064420,4f77133eaac600185ae75ebbbec697af8211cdf745c3a825bcc0b27bc68570f1,4279000000130,Purchase,1.0000,169000.0000,20241224,1,7845073,2024-12-24 18:20:20.230,2024-12-24 18:20:20.230,In-Store,VietQR,869,0.0000,False
1735038017,d3ad85be9a97b3370141ae2a21b16b90ddd89a6540305b5e6caa41012e8028d7,0020010000438,Purchase,2.0000,529000.0000,20241224,2,7573978,2024-12-24 11:00:17.687,2024-12-24 11:00:25.667,In-Store,VietQR,558,0.0000,False
1735066923,4af0041d2d3726d0bfef8eed923a29be0b721ca82d22baa1b26b97ba5150b24c,6870000000004,Purchase,1.0000,59000.0000,20241224,1,7508861,2024-12-24 19:02:03.637,2024-12-24 19:02:03.637,In-Store,VietQR,213,0.0000,False
1735065753,fdf088782c7f04a9c198952f56d2c9832c557108b818a140f64a0344a544362f,2573000000010,Purchase,1.0000,70000.0000,20241224,1,7489152,2024-12-24 18:42:33.300,2024-12-24 18:42:33.300,In-Store,Tiền mặt,577,0.0000,False
